               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.024881,            0.018332,           0.0031808,             0.82769,             0.75228,             0.78366,             0.44739,            0.031972,             0.01494,            0.012349,           0.0079012,           0.0079012,           0.0079012
                 108,            0.025037,            0.018269,           0.0031709,             0.84332,             0.72642,             0.77217,             0.43711,            0.031052,            0.014115,            0.012669,           0.0078814,           0.0078814,           0.0078814
                 109,            0.024679,            0.018657,           0.0031525,             0.87323,             0.69468,             0.77541,             0.43766,            0.031419,            0.014522,            0.013479,           0.0078616,           0.0078616,           0.0078616
                 110,            0.025075,            0.018274,           0.0031142,             0.87776,             0.71493,             0.79456,             0.46071,            0.031278,            0.014361,            0.011397,           0.0078418,           0.0078418,           0.0078418
                 111,            0.024901,            0.018514,            0.003319,             0.83217,             0.71619,             0.75989,              0.4341,            0.032321,            0.013973,            0.011101,            0.007822,            0.007822,            0.007822
                 112,            0.024617,            0.018341,           0.0030784,             0.81658,             0.70984,             0.76826,             0.43678,            0.032684,            0.014634,             0.01634,           0.0078022,           0.0078022,           0.0078022
                 113,            0.024409,             0.01842,           0.0029043,             0.87962,             0.73349,             0.78737,             0.44905,            0.032497,            0.013933,            0.011237,           0.0077824,           0.0077824,           0.0077824
                 114,            0.025065,            0.018713,           0.0030429,             0.82574,             0.74292,             0.76226,             0.42408,            0.032322,            0.013784,           0.0091205,           0.0077626,           0.0077626,           0.0077626
                 115,            0.024187,            0.018419,           0.0028961,             0.80071,             0.75472,             0.76918,             0.44758,            0.032203,            0.014015,           0.0087615,           0.0077428,           0.0077428,           0.0077428
                 116,            0.024594,            0.018448,           0.0031888,             0.86639,             0.72703,             0.77536,              0.4458,            0.031929,            0.014404,              0.0122,            0.007723,            0.007723,            0.007723
                 117,             0.02467,            0.018431,           0.0035905,             0.88264,             0.69575,             0.78745,             0.44372,            0.032408,            0.014299,            0.014296,           0.0077032,           0.0077032,           0.0077032
                 118,            0.024445,            0.018385,           0.0032441,             0.84734,             0.71403,             0.76722,             0.43395,            0.033054,            0.014204,            0.013069,           0.0076834,           0.0076834,           0.0076834
                 119,            0.024064,            0.018215,           0.0030684,              0.8406,             0.71509,             0.76823,              0.4492,            0.031646,            0.014793,            0.011645,           0.0076636,           0.0076636,           0.0076636
                 120,            0.024302,            0.018288,           0.0027928,             0.88708,             0.70047,             0.77754,             0.43326,            0.032611,            0.014604,            0.012741,           0.0076438,           0.0076438,           0.0076438
                 121,            0.023886,            0.017871,           0.0029218,             0.85876,             0.71934,             0.77932,             0.44478,            0.031564,            0.014798,            0.010587,            0.007624,            0.007624,            0.007624
                 122,            0.023775,            0.017911,           0.0025552,             0.82602,             0.73349,             0.78411,             0.44598,             0.03149,            0.014672,            0.010936,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024167,            0.018119,           0.0031121,             0.85163,             0.68833,             0.78231,             0.44447,            0.031205,            0.014265,            0.011825,           0.0075844,           0.0075844,           0.0075844
                 124,            0.024167,            0.017575,           0.0030878,             0.86152,             0.73652,             0.79855,             0.46021,            0.031507,            0.014487,            0.010656,           0.0075646,           0.0075646,           0.0075646
                 125,            0.023938,            0.017857,           0.0029668,             0.88474,             0.70104,             0.78731,             0.45458,            0.031699,            0.014821,            0.010342,           0.0075448,           0.0075448,           0.0075448
                 126,            0.023752,            0.017259,           0.0025884,             0.87972,             0.70283,             0.78233,             0.44127,            0.031613,            0.015304,            0.012284,            0.007525,            0.007525,            0.007525
                 127,            0.023551,            0.018114,           0.0030551,             0.84891,               0.737,             0.79921,             0.46212,            0.031457,            0.014309,             0.01143,           0.0075052,           0.0075052,           0.0075052
                 128,            0.023672,            0.017875,           0.0031659,             0.86365,             0.72546,             0.78588,             0.44362,            0.032228,            0.014155,            0.011096,           0.0074854,           0.0074854,           0.0074854
                 129,            0.023677,             0.01794,           0.0029633,             0.85646,             0.70537,             0.77783,             0.44103,            0.032859,              0.0141,            0.014486,           0.0074656,           0.0074656,           0.0074656
                 130,            0.023932,            0.017994,           0.0027857,             0.79149,             0.75236,             0.78184,             0.43329,            0.032486,            0.013909,            0.011226,           0.0074458,           0.0074458,           0.0074458
                 131,             0.02365,            0.017767,           0.0028738,             0.86135,             0.73271,             0.79912,             0.45308,            0.031329,            0.013809,           0.0084309,            0.007426,            0.007426,            0.007426
                 132,            0.023471,            0.017497,           0.0027428,             0.86627,             0.71462,             0.78781,             0.44833,            0.031788,            0.014221,            0.010779,           0.0074062,           0.0074062,           0.0074062
                 133,            0.023295,            0.017214,           0.0028371,             0.88855,             0.72642,             0.79039,             0.45399,            0.030838,            0.014525,            0.010756,           0.0073864,           0.0073864,           0.0073864
                 134,              0.0236,            0.017563,            0.002972,             0.82821,             0.73219,             0.79603,             0.46202,            0.031349,            0.014931,           0.0095462,           0.0073666,           0.0073666,           0.0073666
                 135,            0.023314,            0.017441,           0.0025676,             0.90755,             0.70637,              0.7836,             0.46277,            0.031511,             0.01482,             0.01051,           0.0073468,           0.0073468,           0.0073468
                 136,            0.023142,            0.017415,           0.0026648,             0.92099,             0.68339,             0.78573,             0.46873,            0.032678,            0.015571,            0.010517,            0.007327,            0.007327,            0.007327
                 137,            0.023308,            0.017402,           0.0029213,             0.89489,             0.69426,              0.7907,             0.46138,            0.031348,            0.015258,            0.010252,           0.0073072,           0.0073072,           0.0073072
                 138,            0.023135,            0.017204,           0.0028391,             0.87937,             0.71226,             0.79725,             0.45824,            0.031259,            0.015108,             0.01065,           0.0072874,           0.0072874,           0.0072874
                 139,            0.022978,            0.017532,           0.0024006,             0.84588,             0.72155,             0.79607,             0.45704,            0.031703,            0.014833,             0.01136,           0.0072676,           0.0072676,           0.0072676
                 140,            0.023086,            0.017511,           0.0026897,             0.87502,             0.71697,             0.79934,             0.45852,            0.031105,            0.015098,            0.012286,           0.0072478,           0.0072478,           0.0072478
